TIGRFAM,ROLE_ID,SubRole,MainRole
TIGR01670,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01671,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01671,156,Conserved,Hypothetical proteins
TIGR01673,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01674,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01682,82,Molybdopterin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01683,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01687,82,Molybdopterin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01688,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01690,186,Plasmid functions,Mobile and extrachromosomal element functions
TIGR01691,106,Sulfur metabolism,Central intermediary metabolism
TIGR01692,109,Amino acids and amines,Energy metabolism
TIGR01693,160,Nitrogen metabolism,Central intermediary metabolism
TIGR01693,263,Protein interactions,Regulatory functions
TIGR01694,102,Other,Central intermediary metabolism
TIGR01694,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01695,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01696,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01700,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01703,96,Detoxification,Cellular processes
TIGR01703,109,Amino acids and amines,Energy metabolism
TIGR01704,102,Other,Central intermediary metabolism
TIGR01704,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01706,108,Aerobic,Energy metabolism
TIGR01706,112,Electron transport,Energy metabolism
TIGR01706,160,Nitrogen metabolism,Central intermediary metabolism
TIGR01708,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01708,187,Pathogenesis,Cellular processes
TIGR01709,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01710,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01710,187,Pathogenesis,Cellular processes
TIGR01712,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01712,183,Restriction/modification,DNA metabolism
TIGR01713,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01714,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01715,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01716,261,DNA interactions,Regulatory functions
TIGR01718,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01719,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01722,109,Amino acids and amines,Energy metabolism
TIGR01723,159,Methanogenesis,Energy metabolism
TIGR01724,703,Enzymes of unknown specificity,Unknown function
TIGR01725,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01726,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01727,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01728,147,Other,Transport and binding proteins
TIGR01730,141,Unknown substrate,Transport and binding proteins
TIGR01732,156,Conserved,Hypothetical proteins
TIGR01734,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01735,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01736,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01737,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01738,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01740,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01743,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01743,261,DNA interactions,Regulatory functions
TIGR01744,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01745,71,Aspartate family,Amino acid biosynthesis
TIGR01747,184,Other,Energy metabolism
TIGR01748,119,Sugars,Energy metabolism
TIGR01749,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01750,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01752,112,Electron transport,Energy metabolism
TIGR01753,112,Electron transport,Energy metabolism
TIGR01755,112,Electron transport,Energy metabolism
TIGR01760,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01763,120,TCA cycle,Energy metabolism
TIGR01764,157,General,Unknown function
TIGR01765,154,Transposon functions,Mobile and extrachromosomal element functions
TIGR01766,154,Transposon functions,Mobile and extrachromosomal element functions
TIGR01770,112,Electron transport,Energy metabolism
TIGR01771,110,Anaerobic,Energy metabolism
TIGR01771,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR01772,120,TCA cycle,Energy metabolism
TIGR01773,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01776,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01776,182,Porins,Transport and binding proteins
TIGR01777,156,Conserved,Hypothetical proteins
TIGR01778,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01778,182,Porins,Transport and binding proteins
TIGR01779,147,Other,Transport and binding proteins
TIGR01779,182,Porins,Transport and binding proteins
TIGR01780,102,Other,Central intermediary metabolism
TIGR01782,182,Porins,Transport and binding proteins
TIGR01783,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01783,182,Porins,Transport and binding proteins
TIGR01785,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01785,182,Porins,Transport and binding proteins
TIGR01786,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01786,182,Porins,Transport and binding proteins
TIGR01791,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01792,160,Nitrogen metabolism,Central intermediary metabolism
TIGR01795,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01796,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01797,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01798,120,TCA cycle,Energy metabolism
TIGR01799,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01801,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01802,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01804,149,Adaptations to atypical conditions,Cellular processes
TIGR01805,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01806,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01807,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01808,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01809,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01810,149,Adaptations to atypical conditions,Cellular processes
TIGR01811,120,TCA cycle,Energy metabolism
TIGR01812,108,Aerobic,Energy metabolism
TIGR01812,110,Anaerobic,Energy metabolism
TIGR01812,120,TCA cycle,Energy metabolism
TIGR01813,112,Electron transport,Energy metabolism
TIGR01814,109,Amino acids and amines,Energy metabolism
TIGR01815,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01816,120,TCA cycle,Energy metabolism
TIGR01817,179,Nitrogen fixation,Central intermediary metabolism
TIGR01817,261,DNA interactions,Regulatory functions
TIGR01818,160,Nitrogen metabolism,Central intermediary metabolism
TIGR01818,261,DNA interactions,Regulatory functions
TIGR01818,699,Two-component systems,Signal transduction
TIGR01819,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01820,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01821,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01822,109,Amino acids and amines,Energy metabolism
TIGR01826,156,Conserved,Hypothetical proteins
TIGR01828,184,Other,Energy metabolism
TIGR01830,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01831,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01832,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR01834,149,Adaptations to atypical conditions,Cellular processes
TIGR01834,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01836,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01837,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01838,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01839,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01840,177,Degradation,Fatty acid and phospholipid metabolism
TIGR01842,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01843,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01844,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01844,182,Porins,Transport and binding proteins
TIGR01845,96,Detoxification,Cellular processes
TIGR01845,182,Porins,Transport and binding proteins
TIGR01846,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01848,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR01848,261,DNA interactions,Regulatory functions
TIGR01849,177,Degradation,Fatty acid and phospholipid metabolism
TIGR01850,73,Glutamate family,Amino acid biosynthesis
TIGR01851,73,Glutamate family,Amino acid biosynthesis
TIGR01852,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01853,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01854,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01855,161,Histidine family,Amino acid biosynthesis
TIGR01857,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01859,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR01860,179,Nitrogen fixation,Central intermediary metabolism
TIGR01861,179,Nitrogen fixation,Central intermediary metabolism
TIGR01862,179,Nitrogen fixation,Central intermediary metabolism
TIGR01863,719,NA,NA
TIGR01865,719,NA,NA
TIGR01866,719,NA,NA
TIGR01868,719,NA,NA
TIGR01869,719,NA,NA
TIGR01870,719,NA,NA
TIGR01873,719,NA,NA
TIGR01874,719,NA,NA
TIGR01875,261,DNA interactions,Regulatory functions
TIGR01875,719,NA,NA
TIGR01876,719,NA,NA
TIGR01877,719,NA,NA
TIGR01878,719,NA,NA
TIGR01881,719,NA,NA
TIGR01882,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR01884,261,DNA interactions,Regulatory functions
TIGR01884,719,NA,NA
TIGR01886,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR01888,719,NA,NA
TIGR01889,261,DNA interactions,Regulatory functions
TIGR01890,73,Glutamate family,Amino acid biosynthesis
TIGR01891,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR01892,73,Glutamate family,Amino acid biosynthesis
TIGR01894,719,NA,NA
TIGR01895,719,NA,NA
TIGR01896,719,NA,NA
TIGR01897,719,NA,NA
TIGR01898,719,NA,NA
TIGR01899,719,NA,NA
TIGR01900,71,Aspartate family,Amino acid biosynthesis
TIGR01903,719,NA,NA
TIGR01907,719,NA,NA
TIGR01908,719,NA,NA
TIGR01910,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR01911,157,General,Unknown function
TIGR01913,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR01914,719,NA,NA
TIGR01915,112,Electron transport,Energy metabolism
TIGR01916,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01920,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01923,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01925,263,Protein interactions,Regulatory functions
TIGR01925,705,Sporulation and germination,Cellular processes
TIGR01927,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01928,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01929,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01930,121,Other,Fatty acid and phospholipid metabolism
TIGR01932,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR01932,263,Protein interactions,Regulatory functions
TIGR01934,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01935,157,General,Unknown function
TIGR01936,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01937,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01938,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01939,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01940,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01941,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01943,112,Electron transport,Energy metabolism
TIGR01944,112,Electron transport,Energy metabolism
TIGR01945,112,Electron transport,Energy metabolism
TIGR01946,112,Electron transport,Energy metabolism
TIGR01947,112,Electron transport,Energy metabolism
TIGR01948,112,Electron transport,Energy metabolism
TIGR01950,96,Detoxification,Cellular processes
TIGR01950,261,DNA interactions,Regulatory functions
TIGR01951,165,Transcription factors,Transcription
TIGR01953,165,Transcription factors,Transcription
TIGR01954,165,Transcription factors,Transcription
TIGR01955,165,Transcription factors,Transcription
TIGR01957,112,Electron transport,Energy metabolism
TIGR01958,112,Electron transport,Energy metabolism
TIGR01959,112,Electron transport,Energy metabolism
TIGR01961,112,Electron transport,Energy metabolism
TIGR01962,112,Electron transport,Energy metabolism
TIGR01964,164,Photosynthesis,Energy metabolism
TIGR01966,166,RNA processing,Transcription
TIGR01967,703,Enzymes of unknown specificity,Unknown function
TIGR01968,93,Cell division,Cellular processes
TIGR01970,703,Enzymes of unknown specificity,Unknown function
TIGR01971,112,Electron transport,Energy metabolism
TIGR01972,112,Electron transport,Energy metabolism
TIGR01973,112,Electron transport,Energy metabolism
TIGR01974,112,Electron transport,Energy metabolism
TIGR01975,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR01976,703,Enzymes of unknown specificity,Unknown function
TIGR01977,703,Enzymes of unknown specificity,Unknown function
TIGR01978,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01979,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01980,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01981,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01982,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01983,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01984,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01988,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01990,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR01991,95,Protein folding and stabilization,Protein fate
TIGR01994,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01997,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01998,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR01999,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02000,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02000,179,Nitrogen fixation,Central intermediary metabolism
TIGR02002,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR02003,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR02004,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR02005,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR02006,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02006,168,tRNA and rRNA base modification,Protein synthesis
TIGR02007,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02010,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02010,261,DNA interactions,Regulatory functions
TIGR02011,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02012,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR02013,135,DNA-dependent RNA polymerase,Transcription
TIGR02014,164,Photosynthesis,Energy metabolism
TIGR02015,164,Photosynthesis,Energy metabolism
TIGR02016,164,Photosynthesis,Energy metabolism
TIGR02017,109,Amino acids and amines,Energy metabolism
TIGR02018,109,Amino acids and amines,Energy metabolism
TIGR02018,261,DNA interactions,Regulatory functions
TIGR02019,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02020,164,Photosynthesis,Energy metabolism
TIGR02021,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02022,109,Amino acids and amines,Energy metabolism
TIGR02023,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02024,109,Amino acids and amines,Energy metabolism
TIGR02025,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02027,135,DNA-dependent RNA polymerase,Transcription
TIGR02028,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02029,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02030,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02031,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02032,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02034,106,Sulfur metabolism,Central intermediary metabolism
TIGR02035,109,Amino acids and amines,Energy metabolism
TIGR02036,261,DNA interactions,Regulatory functions
TIGR02037,95,Protein folding and stabilization,Protein fate
TIGR02037,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR02038,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR02038,263,Protein interactions,Regulatory functions
TIGR02039,106,Sulfur metabolism,Central intermediary metabolism
TIGR02040,164,Photosynthesis,Energy metabolism
TIGR02040,261,DNA interactions,Regulatory functions
TIGR02041,106,Sulfur metabolism,Central intermediary metabolism
TIGR02042,106,Sulfur metabolism,Central intermediary metabolism
TIGR02043,261,DNA interactions,Regulatory functions
TIGR02044,261,DNA interactions,Regulatory functions
TIGR02045,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR02046,120,TCA cycle,Energy metabolism
TIGR02047,261,DNA interactions,Regulatory functions
TIGR02048,86,Glutathione and analogs,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02049,86,Glutathione and analogs,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02051,96,Detoxification,Cellular processes
TIGR02051,261,DNA interactions,Regulatory functions
TIGR02052,96,Detoxification,Cellular processes
TIGR02053,96,Detoxification,Cellular processes
TIGR02054,96,Detoxification,Cellular processes
TIGR02055,106,Sulfur metabolism,Central intermediary metabolism
TIGR02056,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02057,106,Sulfur metabolism,Central intermediary metabolism
TIGR02058,156,Conserved,Hypothetical proteins
TIGR02060,106,Sulfur metabolism,Central intermediary metabolism
TIGR02061,106,Sulfur metabolism,Central intermediary metabolism
TIGR02062,134,Degradation of RNA,Transcription
TIGR02063,134,Degradation of RNA,Transcription
TIGR02064,106,Sulfur metabolism,Central intermediary metabolism
TIGR02065,134,Degradation of RNA,Transcription
TIGR02066,106,Sulfur metabolism,Central intermediary metabolism
TIGR02067,161,Histidine family,Amino acid biosynthesis
TIGR02068,706,Biosynthesis of natural products,Cellular processes
TIGR02069,184,Other,Energy metabolism
TIGR02070,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR02071,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR02072,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02073,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR02074,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR02075,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR02076,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR02077,71,Aspartate family,Amino acid biosynthesis
TIGR02078,71,Aspartate family,Amino acid biosynthesis
TIGR02079,74,Pyruvate family,Amino acid biosynthesis
TIGR02080,71,Aspartate family,Amino acid biosynthesis
TIGR02081,71,Aspartate family,Amino acid biosynthesis
TIGR02082,71,Aspartate family,Amino acid biosynthesis
TIGR02083,74,Pyruvate family,Amino acid biosynthesis
TIGR02084,74,Pyruvate family,Amino acid biosynthesis
TIGR02085,168,tRNA and rRNA base modification,Protein synthesis
TIGR02089,184,Other,Energy metabolism
TIGR02091,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR02092,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR02093,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR02095,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR02099,156,Conserved,Hypothetical proteins
TIGR02100,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR02101,187,Pathogenesis,Cellular processes
TIGR02103,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR02105,97,Protein and peptide secretion and trafficking,Protein fate
TIGR02105,187,Pathogenesis,Cellular processes
TIGR02106,112,Electron transport,Energy metabolism
TIGR02107,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02108,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02109,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02110,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02111,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02112,112,Electron transport,Energy metabolism
TIGR02113,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02114,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02115,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR02116,94,Toxin production and resistance,Cellular processes
TIGR02116,708,Other,Mobile and extrachromosomal element functions
TIGR02117,156,Conserved,Hypothetical proteins
TIGR02118,156,Conserved,Hypothetical proteins
TIGR02119,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02119,147,Other,Transport and binding proteins
TIGR02120,97,Protein and peptide secretion and trafficking,Protein fate
TIGR02121,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR02122,141,Unknown substrate,Transport and binding proteins
TIGR02123,141,Unknown substrate,Transport and binding proteins
TIGR02126,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02127,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR02129,161,Histidine family,Amino acid biosynthesis
TIGR02130,71,Aspartate family,Amino acid biosynthesis
TIGR02134,117,Pentose phosphate pathway,Energy metabolism
TIGR02135,129,Other,Regulatory functions
TIGR02135,143,Anions,Transport and binding proteins
TIGR02136,143,Anions,Transport and binding proteins
TIGR02138,143,Anions,Transport and binding proteins
TIGR02139,143,Anions,Transport and binding proteins
TIGR02140,143,Anions,Transport and binding proteins
TIGR02141,143,Anions,Transport and binding proteins
TIGR02142,143,Anions,Transport and binding proteins
TIGR02143,168,tRNA and rRNA base modification,Protein synthesis
TIGR02145,88,Other,Cell envelope
TIGR02147,156,Conserved,Hypothetical proteins
TIGR02149,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR02150,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02151,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02152,119,Sugars,Energy metabolism
TIGR02153,137,tRNA aminoacylation,Protein synthesis
TIGR02154,261,DNA interactions,Regulatory functions
TIGR02154,699,Two-component systems,Signal transduction
TIGR02155,184,Other,Energy metabolism
TIGR02156,184,Other,Energy metabolism
TIGR02157,184,Other,Energy metabolism
TIGR02158,184,Other,Energy metabolism
TIGR02159,184,Other,Energy metabolism
TIGR02160,184,Other,Energy metabolism
TIGR02165,719,NA,NA
TIGR02168,93,Cell division,Cellular processes
TIGR02168,170,Chromosome-associated proteins,DNA metabolism
TIGR02169,93,Cell division,Cellular processes
TIGR02169,170,Chromosome-associated proteins,DNA metabolism
TIGR02170,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR02178,169,Translation factors,Protein synthesis
TIGR02181,112,Electron transport,Energy metabolism
TIGR02182,112,Electron transport,Energy metabolism
TIGR02185,88,Other,Cell envelope
TIGR02191,166,RNA processing,Transcription
TIGR02192,156,Conserved,Hypothetical proteins
TIGR02193,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02195,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02197,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02198,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02199,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02201,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02203,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02203,147,Other,Transport and binding proteins
TIGR02205,93,Cell division,Cellular processes
TIGR02207,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02208,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR02209,93,Cell division,Cellular processes
TIGR02210,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR02210,93,Cell division,Cellular processes
TIGR02211,97,Protein and peptide secretion and trafficking,Protein fate
TIGR02212,97,Protein and peptide secretion and trafficking,Protein fate
TIGR02213,97,Protein and peptide secretion and trafficking,Protein fate
TIGR02214,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR02214,705,Sporulation and germination,Cellular processes
TIGR02215,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02216,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02217,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02218,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02219,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02220,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02221,719,NA,NA
TIGR02222,95,Protein folding and stabilization,Protein fate
TIGR02222,97,Protein and peptide secretion and trafficking,Protein fate
TIGR02223,93,Cell division,Cellular processes
TIGR02224,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR02225,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR02226,704,Domain,Hypothetical proteins
TIGR02227,97,Protein and peptide secretion and trafficking,Protein fate
TIGR02229,112,Electron transport,Energy metabolism
TIGR02230,111,ATP-proton motive force interconversion,Energy metabolism
TIGR02235,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR02236,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR02240,184,Other,Energy metabolism
TIGR02242,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02243,152,Prophage functions,Mobile and extrachromosomal element functions
TIGR02248,132,"DNA replication, recombination, and repair",DNA metabolism
